"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"545",594798,"Jacob deGrom","3212","17.0","0.195","0.082","0.280","0.276","0.200","0.222","0.207","105","539","85.3","10.9","2293","93.1","94.25","139","495","47","1.2","6.85","112","151","110","148","292","315","298"
"480",605400,"Aaron Nola","3212","14.9","0.196","0.103","0.249","0.299","0.210","0.237","0.215","93","475","85.8","7.7","2110","86.5","86.89","97","444","35","0.4","6.52","107","154","116","148","292","322","292"
"469",434378,"Justin Verlander","3427","13.7","0.181","0.159","0.258","0.341","0.218","0.211","0.181","84","464","86.6","21.8","2679","90.6","89.54","147","429","37","-1.1","5.82","109","153","124","152","286","315","291"
"435",543606,"Jake Odorizzi","3077","14.1","0.234","0.147","0.304","0.381","0.259","0.279","0.240","100","428","88.4","21.3","2114","87.7","86.74","102","414","21","-1.0","5.56","110","150","119","148","295","321","293"
"432",607536,"Kyle Freeland","3250","13.3","0.255","0.105","0.308","0.360","0.262","0.263","0.249","109","428","86.0","11.1","2109","89.0","89.56","65","401","29","0.6","6.36","108","151","115","143","299","319","299"
"427",502190,"Mike Leake","2798","15.3","0.288","0.118","0.337","0.406","0.296","0.301","0.283","122","424","88.9","8.5","2125","85.5","83.82","58","407","20","-1.7","5.14","108","152","112","147","288","321","294"
"409",571578,"Patrick Corbin","3142","13.0","0.207","0.126","0.289","0.333","0.229","0.245","0.220","84","406","87.7","7.0","2301","86.2","85.92","120","388","19","-0.3","6.10","107","151","114","149","301","326","298"
"407",468504,"Jhoulys Chacin","3008","13.5","0.217","0.129","0.249","0.346","0.235","0.278","0.250","86","396","87.7","11.8","2162","85.5","84.15","64","383","24","-1.3","5.42","110","155","113","151","301","318","295"
"402",571760,"Andrew Heaney","2755","14.6","0.237","0.161","0.286","0.398","0.267","0.274","0.239","94","397","86.8","13.8","2333","87.2","85.93","75","371","31","-1.3","5.66","108","152","112","147","298","320","295"
"401",453286,"Max Scherzer","3493","11.5","0.190","0.153","0.268","0.343","0.225","0.219","0.188","76","399","86.4","20.3","2267","90.0","89.47","128","377","24","-0.5","5.98","112","153","116","149","295","312","297"
"396",450203,"Charlie Morton","2688","14.7","0.184","0.115","0.259","0.298","0.203","0.218","0.197","72","392","86.2","8.1","2450","89.6","88.62","108","361","35","-1.0","5.84","109","152","120","151","284","315","289"
